Risk ID,Supplier ID,Risk Type (Shortage / Delay / Shutdown),Severity Level (High/Medium/Low),Probability of Occurrence,Date of Risk Event,Affected Component ID,Expected Recovery Time
RISK02316,SUPP065,Shortage,High,0.49,2021-10-22,COMP0114,26 days
RISK02317,SUPP067,Shortage,High,0.03,2020-06-18,COMP0349,108 days
RISK02318,SUPP050,Shortage,High,0.75,2024-05-12,COMP0464,56 days
RISK02319,SUPP024,Shortage,High,0.59,2025-04-21,COMP0099,113 days
RISK02320,SUPP071,Delay,Low,0.18,2022-09-03,COMP0269,120 days
RISK02321,SUPP076,Delay,Low,0.64,2020-12-09,COMP0373,89 days
RISK02322,SUPP052,Shortage,Medium,0.91,2022-06-15,COMP0155,100 days
RISK02323,SUPP043,Shortage,High,0.88,2024-06-01,COMP0079,42 days
RISK02324,SUPP091,Shutdown,Low,0.36,2021-10-16,COMP0059,150 days
RISK02325,SUPP096,Shortage,Medium,0.35,2022-05-23,COMP0376,41 days
RISK02326,SUPP045,Delay,High,0.8,2022-05-12,COMP0285,66 days
RISK02327,SUPP080,Shutdown,High,0.87,2021-05-02,COMP0287,179 days
RISK02328,SUPP036,Delay,Medium,0.93,2023-03-05,COMP0080,9 days
RISK02329,SUPP042,Delay,High,0.07,2022-02-27,COMP0193,165 days
RISK02330,SUPP046,Delay,Medium,0.27,2025-12-18,COMP0241,86 days
RISK02331,SUPP057,Shutdown,Medium,0.76,2021-05-25,COMP0027,8 days
RISK02332,SUPP043,Delay,Medium,0.33,2025-04-27,COMP0235,122 days
RISK02333,SUPP006,Shutdown,High,0.15,2021-07-13,COMP0215,87 days
RISK02334,SUPP090,Shortage,Low,0.65,2025-09-29,COMP0416,47 days
RISK02335,SUPP095,Delay,Low,0.46,2020-11-24,COMP0114,175 days
RISK02336,SUPP027,Shutdown,Low,0.91,2025-06-16,COMP0402,30 days
RISK02337,SUPP067,Shortage,Medium,0.81,2021-07-07,COMP0234,82 days
RISK02338,SUPP020,Shortage,Medium,0.13,2023-11-18,COMP0049,77 days
RISK02339,SUPP089,Delay,Low,0.24,2024-08-25,COMP0229,117 days
RISK02340,SUPP049,Shortage,Medium,0.64,2023-10-04,COMP0152,49 days
RISK02341,SUPP004,Delay,Low,0.39,2020-08-06,COMP0249,83 days
RISK02342,SUPP002,Shortage,Medium,0.43,2023-06-04,COMP0355,36 days
RISK02343,SUPP065,Shutdown,Medium,0.75,2020-11-11,COMP0411,148 days
RISK02344,SUPP071,Shutdown,Medium,0.94,2020-09-24,COMP0269,149 days
RISK02345,SUPP030,Delay,Medium,0.87,2024-11-28,COMP0343,162 days
RISK02346,SUPP031,Shortage,Medium,0.85,2023-12-31,COMP0445,46 days
RISK02347,SUPP070,Delay,Medium,0.89,2021-04-13,COMP0082,31 days
RISK02348,SUPP083,Shutdown,Medium,0.75,2022-10-06,COMP0406,13 days
RISK02349,SUPP064,Shortage,Low,0.39,2021-07-02,COMP0054,154 days
RISK02350,SUPP098,Shortage,Medium,0.54,2023-02-25,COMP0092,138 days
RISK02351,SUPP059,Shortage,Medium,0.35,2024-02-22,COMP0131,27 days
RISK02352,SUPP059,Shortage,Medium,0.63,2024-05-09,COMP0056,116 days
RISK02353,SUPP012,Delay,High,0.4,2021-03-15,COMP0116,120 days
RISK02354,SUPP040,Shortage,High,0.68,2024-01-19,COMP0293,52 days
RISK02355,SUPP049,Shortage,High,0.03,2023-08-31,COMP0457,49 days
RISK02356,SUPP084,Shortage,Medium,0.05,2022-02-26,COMP0109,119 days
RISK02357,SUPP019,Shortage,Medium,0.48,2022-03-08,COMP0475,51 days
RISK02358,SUPP024,Shortage,Medium,0.92,2024-10-20,COMP0318,97 days
RISK02359,SUPP019,Delay,Low,0.43,2022-10-04,COMP0192,37 days
RISK02360,SUPP017,Shortage,Low,0.59,2024-05-06,COMP0115,26 days
RISK02361,SUPP050,Delay,Low,0.17,2020-09-03,COMP0091,155 days
RISK02362,SUPP053,Shortage,Low,0.02,2025-07-21,COMP0495,121 days
RISK02363,SUPP096,Shortage,High,0.36,2021-09-11,COMP0347,109 days
RISK02364,SUPP036,Shortage,High,0.63,2020-06-23,COMP0189,129 days
RISK02365,SUPP031,Shortage,Medium,0.27,2022-05-11,COMP0368,25 days
RISK02366,SUPP012,Delay,High,0.43,2022-01-03,COMP0202,92 days
RISK02367,SUPP097,Delay,Medium,0.45,2023-06-22,COMP0490,2 days
RISK02368,SUPP054,Delay,Low,0.56,2020-11-23,COMP0429,71 days
RISK02369,SUPP089,Shortage,Medium,0.53,2023-12-04,COMP0317,145 days
RISK02370,SUPP058,Delay,Medium,0.32,2024-03-22,COMP0325,67 days
RISK02371,SUPP038,Delay,Medium,0.24,2021-11-03,COMP0111,71 days
RISK02372,SUPP075,Delay,Medium,0.69,2025-08-15,COMP0249,137 days
RISK02373,SUPP018,Shortage,High,0.78,2022-12-01,COMP0148,115 days
RISK02374,SUPP081,Shortage,Low,0.45,2025-10-12,COMP0139,92 days
RISK02375,SUPP064,Delay,Medium,0.91,2021-07-16,COMP0460,37 days
RISK02376,SUPP060,Delay,Low,0.59,2025-02-23,COMP0179,30 days
RISK02377,SUPP098,Shortage,High,0.86,2021-11-28,COMP0360,15 days
RISK02378,SUPP091,Shortage,Medium,0.06,2020-06-29,COMP0133,84 days
RISK02379,SUPP065,Shortage,Low,0.57,2021-06-25,COMP0466,180 days
RISK02380,SUPP028,Shortage,Medium,0.64,2020-04-15,COMP0086,16 days
RISK02381,SUPP097,Shortage,High,0.22,2023-09-09,COMP0468,93 days
RISK02382,SUPP057,Delay,High,0.14,2023-01-06,COMP0338,137 days
RISK02383,SUPP066,Shortage,Medium,0.5,2023-12-03,COMP0089,51 days
RISK02384,SUPP041,Shortage,Medium,0.08,2021-12-05,COMP0447,38 days
RISK02385,SUPP088,Shortage,Medium,0.37,2025-10-16,COMP0081,40 days
RISK02386,SUPP022,Delay,Medium,0.82,2025-02-23,COMP0113,164 days
RISK02387,SUPP001,Delay,Medium,0.67,2022-02-11,COMP0226,150 days
RISK02388,SUPP021,Delay,Low,0.72,2025-05-12,COMP0431,112 days
RISK02389,SUPP072,Delay,High,0.03,2020-06-01,COMP0307,49 days
RISK02390,SUPP083,Shutdown,Low,0.28,2025-01-22,COMP0259,13 days
RISK02391,SUPP059,Shortage,Medium,0.79,2020-03-27,COMP0356,137 days
RISK02392,SUPP001,Delay,Medium,0.65,2020-02-10,COMP0314,92 days
RISK02393,SUPP045,Shutdown,Medium,0.47,2022-07-04,COMP0409,53 days
RISK02394,SUPP025,Shortage,Medium,0.88,2025-06-08,COMP0348,36 days
RISK02395,SUPP087,Delay,Medium,0.77,2021-04-12,COMP0290,86 days
RISK02396,SUPP022,Shutdown,Medium,0.9,2021-07-10,COMP0111,50 days
RISK02397,SUPP008,Shortage,High,0.05,2022-02-20,COMP0092,39 days
RISK02398,SUPP010,Shortage,Medium,0.11,2020-09-13,COMP0062,169 days
RISK02399,SUPP016,Shortage,Medium,0.41,2021-09-12,COMP0247,73 days
RISK02400,SUPP072,Shutdown,Low,0.47,2024-10-30,COMP0348,79 days
RISK02401,SUPP078,Shortage,Medium,0.84,2024-10-11,COMP0043,156 days
RISK02402,SUPP079,Delay,Medium,0.6,2024-12-03,COMP0274,29 days
RISK02403,SUPP048,Shortage,Medium,0.47,2024-12-27,COMP0130,13 days
RISK02404,SUPP050,Delay,Medium,0.63,2024-11-29,COMP0040,10 days
RISK02405,SUPP069,Shortage,Low,0.84,2022-11-03,COMP0353,1 days
RISK02406,SUPP019,Delay,Medium,0.72,2022-10-28,COMP0361,12 days
RISK02407,SUPP029,Shortage,High,0.09,2023-11-25,COMP0126,85 days
RISK02408,SUPP079,Shutdown,Medium,0.25,2020-10-11,COMP0262,44 days
RISK02409,SUPP079,Delay,Medium,0.4,2021-08-23,COMP0314,19 days
RISK02410,SUPP046,Shortage,Medium,0.67,2025-04-15,COMP0036,8 days
RISK02411,SUPP100,Delay,Medium,0.75,2023-04-14,COMP0081,48 days
RISK02412,SUPP022,Delay,Medium,0.13,2021-06-15,COMP0377,150 days
RISK02413,SUPP001,Delay,High,0.61,2025-11-08,COMP0446,77 days
RISK02414,SUPP034,Shortage,Low,0.59,2022-10-04,COMP0400,101 days
RISK02415,SUPP022,Delay,Medium,0.23,2021-05-12,COMP0253,90 days
RISK02416,SUPP036,Delay,Medium,0.93,2024-03-20,COMP0129,27 days
RISK02417,SUPP014,Delay,High,0.8,2022-05-30,COMP0204,120 days
RISK02418,SUPP013,Shortage,Medium,0.74,2025-02-25,COMP0149,37 days
RISK02419,SUPP065,Shortage,Medium,0.82,2024-08-25,COMP0225,96 days
RISK02420,SUPP060,Shutdown,Low,0.17,2020-02-01,COMP0220,53 days
RISK02421,SUPP048,Delay,High,0.3,2021-03-27,COMP0002,149 days
RISK02422,SUPP033,Shortage,Medium,0.79,2021-10-23,COMP0104,153 days
RISK02423,SUPP090,Delay,Low,0.5,2025-11-09,COMP0202,3 days
RISK02424,SUPP012,Shutdown,High,0.16,2023-11-09,COMP0097,153 days
RISK02425,SUPP090,Shutdown,Medium,0.22,2024-06-02,COMP0403,15 days
RISK02426,SUPP079,Shortage,Medium,0.26,2021-09-15,COMP0486,61 days
RISK02427,SUPP032,Delay,High,0.76,2021-12-02,COMP0040,89 days
RISK02428,SUPP073,Shutdown,Medium,0.57,2021-10-24,COMP0355,3 days
RISK02429,SUPP068,Shutdown,Low,0.08,2021-05-23,COMP0364,63 days
RISK02430,SUPP043,Delay,Low,0.86,2020-03-07,COMP0113,126 days
RISK02431,SUPP004,Delay,High,0.88,2024-11-24,COMP0282,158 days
RISK02432,SUPP015,Delay,Medium,0.77,2020-11-26,COMP0021,60 days
RISK02433,SUPP072,Shutdown,Low,0.21,2023-08-17,COMP0322,180 days
RISK02434,SUPP004,Shutdown,High,0.02,2025-02-23,COMP0492,143 days
RISK02435,SUPP028,Delay,Medium,0.62,2025-01-22,COMP0348,32 days
RISK02436,SUPP041,Shortage,Medium,0.93,2024-04-09,COMP0446,56 days
RISK02437,SUPP067,Delay,Medium,0.16,2024-04-26,COMP0178,7 days
RISK02438,SUPP068,Shortage,Medium,0.2,2023-03-24,COMP0172,125 days
RISK02439,SUPP013,Delay,High,0.27,2021-06-10,COMP0242,80 days
RISK02440,SUPP054,Shutdown,Medium,0.84,2022-10-02,COMP0345,41 days
RISK02441,SUPP011,Shutdown,High,0.51,2022-09-09,COMP0072,115 days
RISK02442,SUPP048,Delay,Low,0.61,2022-10-06,COMP0116,156 days
RISK02443,SUPP008,Delay,High,0.94,2025-03-17,COMP0459,62 days
RISK02444,SUPP038,Shutdown,Medium,0.14,2020-01-09,COMP0031,80 days
RISK02445,SUPP031,Delay,High,0.7,2021-03-26,COMP0379,112 days
RISK02446,SUPP043,Delay,Medium,0.69,2024-08-20,COMP0315,27 days
RISK02447,SUPP012,Shortage,High,0.28,2025-07-21,COMP0054,167 days
RISK02448,SUPP007,Shortage,Medium,0.68,2020-06-18,COMP0298,102 days
RISK02449,SUPP025,Shortage,Low,0.32,2020-08-05,COMP0268,164 days
RISK02450,SUPP075,Delay,Medium,0.3,2021-12-11,COMP0352,174 days
RISK02451,SUPP002,Delay,Medium,0.76,2025-07-12,COMP0035,62 days
RISK02452,SUPP049,Shortage,Low,0.6,2021-12-01,COMP0497,79 days
RISK02453,SUPP087,Shortage,Medium,0.76,2024-11-14,COMP0227,104 days
RISK02454,SUPP090,Delay,Low,0.5,2023-08-22,COMP0001,8 days
RISK02455,SUPP036,Shortage,Medium,0.83,2023-09-02,COMP0252,22 days
RISK02456,SUPP084,Delay,High,0.88,2025-04-25,COMP0244,61 days
RISK02457,SUPP097,Shortage,Low,0.36,2024-11-18,COMP0346,2 days
RISK02458,SUPP065,Shutdown,Low,0.5,2025-09-13,COMP0489,103 days
RISK02459,SUPP009,Shortage,High,0.58,2025-01-01,COMP0387,9 days
RISK02460,SUPP097,Delay,Medium,0.16,2023-06-21,COMP0287,84 days
RISK02461,SUPP039,Delay,Medium,0.15,2022-08-03,COMP0246,153 days
RISK02462,SUPP033,Delay,Low,0.66,2023-08-04,COMP0283,175 days
RISK02463,SUPP062,Delay,Medium,0.74,2023-12-01,COMP0350,128 days
RISK02464,SUPP052,Shortage,Low,0.74,2020-12-26,COMP0339,157 days
RISK02465,SUPP038,Shortage,Low,0.76,2024-07-08,COMP0058,105 days
RISK02466,SUPP059,Shortage,Medium,0.22,2020-09-25,COMP0056,16 days
RISK02467,SUPP032,Delay,High,0.22,2023-03-30,COMP0252,25 days
RISK02468,SUPP012,Shortage,High,0.31,2021-04-11,COMP0045,16 days
RISK02469,SUPP012,Delay,Medium,0.46,2024-04-08,COMP0002,114 days
RISK02470,SUPP031,Shortage,Low,0.03,2023-03-02,COMP0091,121 days
RISK02471,SUPP082,Shutdown,Medium,0.36,2024-08-04,COMP0023,135 days
RISK02472,SUPP051,Shutdown,Medium,0.85,2022-09-12,COMP0173,139 days
RISK02473,SUPP095,Delay,High,0.43,2025-01-30,COMP0025,9 days
RISK02474,SUPP098,Shortage,Medium,0.77,2020-08-16,COMP0070,68 days
RISK02475,SUPP080,Delay,Low,0.58,2023-05-24,COMP0065,9 days
RISK02476,SUPP066,Shortage,Low,0.52,2020-03-24,COMP0098,28 days
RISK02477,SUPP018,Delay,Low,0.18,2023-01-29,COMP0203,122 days
RISK02478,SUPP011,Shutdown,High,0.48,2021-05-12,COMP0463,51 days
RISK02479,SUPP090,Delay,Medium,0.21,2022-06-21,COMP0394,1 days
RISK02480,SUPP031,Shortage,High,0.53,2025-12-17,COMP0247,14 days
RISK02481,SUPP095,Shortage,Low,0.37,2022-02-02,COMP0486,167 days
RISK02482,SUPP082,Shortage,Medium,0.74,2020-06-18,COMP0167,47 days
RISK02483,SUPP026,Delay,Medium,0.42,2023-10-09,COMP0349,61 days
RISK02484,SUPP099,Shutdown,Low,0.51,2022-05-29,COMP0312,168 days
RISK02485,SUPP027,Delay,High,0.46,2021-06-04,COMP0200,17 days
RISK02486,SUPP053,Delay,Low,0.85,2020-03-10,COMP0218,24 days
RISK02487,SUPP033,Delay,Medium,0.15,2022-08-04,COMP0432,56 days
RISK02488,SUPP077,Shutdown,Medium,0.28,2020-08-26,COMP0195,116 days
RISK02489,SUPP094,Delay,Medium,0.55,2020-09-08,COMP0219,90 days
RISK02490,SUPP019,Shortage,Medium,0.68,2023-08-14,COMP0341,65 days
RISK02491,SUPP074,Delay,High,0.72,2023-12-04,COMP0486,147 days
RISK02492,SUPP033,Delay,Medium,0.53,2021-06-12,COMP0075,89 days
RISK02493,SUPP068,Shutdown,Medium,0.25,2020-03-15,COMP0161,40 days
RISK02494,SUPP062,Delay,Low,0.53,2021-02-19,COMP0379,149 days
RISK02495,SUPP097,Delay,Medium,0.6,2023-11-08,COMP0112,162 days
RISK02496,SUPP031,Shortage,Medium,0.47,2022-06-09,COMP0333,167 days
RISK02497,SUPP099,Delay,Medium,0.56,2025-04-04,COMP0027,159 days
RISK02498,SUPP008,Shortage,Medium,0.8,2024-02-20,COMP0343,143 days
RISK02499,SUPP048,Shortage,High,0.85,2021-10-07,COMP0379,41 days
RISK02500,SUPP079,Shortage,Medium,0.52,2023-06-18,COMP0404,143 days
RISK02501,SUPP100,Shutdown,Medium,0.3,2025-09-07,COMP0131,125 days
RISK02502,SUPP058,Delay,Medium,0.6,2020-09-14,COMP0416,3 days
RISK02503,SUPP066,Delay,Low,0.93,2024-02-14,COMP0415,119 days
RISK02504,SUPP048,Delay,Low,0.81,2022-04-01,COMP0400,24 days
RISK02505,SUPP042,Shutdown,Low,0.24,2021-06-23,COMP0100,148 days
RISK02506,SUPP073,Shortage,Medium,0.37,2024-07-10,COMP0052,73 days
RISK02507,SUPP028,Delay,Medium,0.43,2022-10-24,COMP0371,178 days
RISK02508,SUPP066,Delay,High,0.44,2024-08-17,COMP0298,157 days
RISK02509,SUPP043,Delay,Medium,0.2,2020-11-05,COMP0393,106 days
RISK02510,SUPP042,Delay,High,0.38,2022-12-19,COMP0407,110 days
RISK02511,SUPP097,Shutdown,High,0.21,2022-12-22,COMP0442,68 days
RISK02512,SUPP055,Shortage,Low,0.78,2020-03-21,COMP0250,4 days
RISK02513,SUPP062,Shortage,Low,0.89,2020-06-27,COMP0312,155 days
RISK02514,SUPP081,Delay,Medium,0.16,2020-05-15,COMP0200,154 days
RISK02515,SUPP071,Delay,Low,0.47,2020-12-07,COMP0037,135 days
RISK02516,SUPP039,Shutdown,Medium,0.85,2021-06-02,COMP0073,103 days
RISK02517,SUPP005,Shortage,Medium,0.31,2025-06-28,COMP0205,39 days
RISK02518,SUPP055,Delay,High,0.57,2021-11-13,COMP0242,92 days
RISK02519,SUPP008,Shutdown,Medium,0.56,2022-06-05,COMP0289,146 days
RISK02520,SUPP039,Delay,Low,0.81,2021-04-26,COMP0158,157 days
RISK02521,SUPP071,Delay,Medium,0.7,2021-06-27,COMP0241,50 days
RISK02522,SUPP086,Delay,Medium,0.64,2021-07-06,COMP0155,119 days
RISK02523,SUPP013,Delay,Low,0.58,2022-10-25,COMP0257,168 days
RISK02524,SUPP056,Shutdown,Medium,0.47,2025-12-18,COMP0436,23 days
RISK02525,SUPP029,Shortage,Low,0.25,2022-11-23,COMP0366,72 days
RISK02526,SUPP059,Delay,High,0.76,2020-10-14,COMP0416,85 days
RISK02527,SUPP025,Shortage,Medium,0.41,2021-08-07,COMP0138,2 days
RISK02528,SUPP046,Shortage,Low,0.34,2022-04-09,COMP0212,78 days
RISK02529,SUPP083,Shutdown,Low,0.87,2022-09-05,COMP0491,169 days
RISK02530,SUPP037,Delay,Medium,0.59,2024-07-07,COMP0215,41 days
RISK02531,SUPP097,Shutdown,Medium,0.5,2021-11-29,COMP0481,71 days
RISK02532,SUPP019,Delay,High,0.13,2024-01-04,COMP0121,111 days
RISK02533,SUPP068,Delay,Medium,0.16,2023-03-22,COMP0384,151 days
RISK02534,SUPP089,Shortage,Low,0.65,2021-04-12,COMP0419,130 days
RISK02535,SUPP055,Shortage,High,0.49,2022-05-04,COMP0490,8 days
RISK02536,SUPP050,Delay,High,0.28,2020-05-16,COMP0391,81 days
RISK02537,SUPP069,Shutdown,Medium,0.07,2025-04-15,COMP0239,147 days
RISK02538,SUPP052,Delay,Medium,0.6,2023-05-11,COMP0051,80 days
RISK02539,SUPP019,Shortage,Medium,0.53,2020-01-30,COMP0398,155 days
RISK02540,SUPP021,Shortage,Low,0.2,2020-08-27,COMP0296,98 days
RISK02541,SUPP033,Delay,Medium,0.22,2021-07-17,COMP0465,40 days
RISK02542,SUPP047,Shutdown,Medium,0.79,2022-06-25,COMP0375,141 days
RISK02543,SUPP081,Delay,High,0.03,2021-09-16,COMP0372,150 days
RISK02544,SUPP025,Delay,Medium,0.48,2020-10-17,COMP0156,66 days
RISK02545,SUPP003,Shortage,Low,0.64,2025-05-07,COMP0049,129 days
RISK02546,SUPP098,Shortage,Medium,0.81,2021-12-07,COMP0285,43 days
RISK02547,SUPP018,Delay,Medium,0.46,2024-07-07,COMP0301,175 days
RISK02548,SUPP013,Shortage,Medium,0.54,2024-10-01,COMP0190,47 days
RISK02549,SUPP090,Shortage,High,0.29,2024-09-18,COMP0155,151 days
RISK02550,SUPP090,Shutdown,Medium,0.92,2025-07-15,COMP0328,59 days
RISK02551,SUPP008,Shortage,High,0.9,2021-12-24,COMP0184,17 days
RISK02552,SUPP052,Shutdown,Medium,0.93,2023-06-08,COMP0027,145 days
RISK02553,SUPP005,Shortage,Low,0.75,2021-11-23,COMP0005,63 days
RISK02554,SUPP052,Delay,Medium,0.09,2021-02-03,COMP0215,86 days
RISK02555,SUPP064,Shutdown,Low,0.31,2025-11-27,COMP0094,67 days
RISK02556,SUPP015,Delay,Medium,0.92,2022-03-17,COMP0035,111 days
RISK02557,SUPP016,Delay,Medium,0.5,2024-11-15,COMP0098,120 days
RISK02558,SUPP027,Shortage,Medium,0.34,2025-01-23,COMP0130,19 days
RISK02559,SUPP070,Delay,Medium,0.72,2024-01-08,COMP0372,26 days
RISK02560,SUPP015,Delay,High,0.66,2021-07-18,COMP0160,59 days
RISK02561,SUPP054,Shortage,High,0.52,2020-06-30,COMP0139,100 days
RISK02562,SUPP084,Shortage,High,0.79,2022-08-17,COMP0291,104 days
RISK02563,SUPP097,Shortage,Low,0.8,2020-12-11,COMP0127,165 days
RISK02564,SUPP044,Delay,High,0.16,2023-03-20,COMP0303,137 days
RISK02565,SUPP092,Shortage,Medium,0.05,2020-03-22,COMP0159,72 days
RISK02566,SUPP075,Shutdown,Low,0.11,2021-10-26,COMP0002,23 days
RISK02567,SUPP042,Delay,High,0.76,2024-11-02,COMP0437,25 days
RISK02568,SUPP030,Delay,Low,0.57,2021-11-19,COMP0193,103 days
RISK02569,SUPP027,Shortage,Medium,0.39,2024-09-06,COMP0436,6 days
RISK02570,SUPP045,Shortage,Low,0.57,2022-06-15,COMP0375,132 days
RISK02571,SUPP015,Shutdown,Medium,0.41,2021-10-31,COMP0084,178 days
RISK02572,SUPP031,Delay,Medium,0.77,2023-09-14,COMP0265,51 days
RISK02573,SUPP074,Delay,Low,0.95,2021-01-20,COMP0201,96 days
RISK02574,SUPP064,Shutdown,Medium,0.42,2023-07-19,COMP0157,140 days
RISK02575,SUPP092,Shortage,Low,0.13,2022-07-22,COMP0062,150 days
RISK02576,SUPP007,Shutdown,Medium,0.22,2021-06-14,COMP0404,23 days
RISK02577,SUPP071,Delay,High,0.54,2020-06-18,COMP0249,44 days
RISK02578,SUPP007,Delay,High,0.51,2020-12-18,COMP0075,172 days
RISK02579,SUPP027,Shortage,High,0.2,2025-10-10,COMP0317,77 days
RISK02580,SUPP100,Shortage,Low,0.92,2023-04-02,COMP0387,5 days
RISK02581,SUPP099,Delay,Low,0.19,2025-12-09,COMP0436,73 days
RISK02582,SUPP071,Shutdown,High,0.38,2022-08-17,COMP0027,44 days
RISK02583,SUPP085,Delay,High,0.1,2020-10-12,COMP0249,8 days
RISK02584,SUPP064,Shortage,Medium,0.03,2023-06-21,COMP0245,85 days
RISK02585,SUPP049,Delay,Medium,0.24,2025-04-22,COMP0172,139 days
RISK02586,SUPP044,Delay,Low,0.75,2022-08-20,COMP0241,10 days
RISK02587,SUPP038,Shutdown,Medium,0.47,2020-05-26,COMP0168,10 days
RISK02588,SUPP070,Delay,Medium,0.27,2021-12-29,COMP0064,109 days
RISK02589,SUPP016,Delay,High,0.67,2022-06-29,COMP0065,125 days
RISK02590,SUPP012,Shortage,Medium,0.44,2021-11-01,COMP0048,109 days
RISK02591,SUPP072,Delay,Low,0.79,2024-02-24,COMP0311,24 days
RISK02592,SUPP096,Delay,Medium,0.47,2023-04-06,COMP0351,95 days
RISK02593,SUPP003,Delay,Medium,0.48,2024-06-08,COMP0287,7 days
RISK02594,SUPP023,Shutdown,Medium,0.21,2023-02-12,COMP0436,76 days
RISK02595,SUPP065,Delay,High,0.81,2021-10-14,COMP0153,31 days
RISK02596,SUPP046,Delay,Low,0.85,2022-06-04,COMP0164,88 days
RISK02597,SUPP068,Shutdown,Medium,0.45,2025-11-02,COMP0146,20 days
RISK02598,SUPP096,Delay,Medium,0.14,2023-08-28,COMP0291,135 days
RISK02599,SUPP074,Delay,Low,0.11,2024-10-13,COMP0094,58 days
RISK02600,SUPP069,Delay,High,0.12,2021-05-20,COMP0461,117 days
RISK02601,SUPP040,Shutdown,High,0.74,2025-12-07,COMP0060,35 days
RISK02602,SUPP094,Delay,Medium,0.31,2021-05-25,COMP0403,107 days
RISK02603,SUPP098,Shortage,Medium,0.14,2024-01-22,COMP0463,15 days
RISK02604,SUPP065,Delay,High,0.78,2020-10-24,COMP0317,101 days
RISK02605,SUPP091,Shortage,Low,0.77,2025-05-19,COMP0006,63 days
RISK02606,SUPP074,Shutdown,Medium,0.38,2023-04-01,COMP0106,95 days
RISK02607,SUPP025,Delay,Medium,0.19,2020-12-06,COMP0318,96 days
RISK02608,SUPP026,Delay,Low,0.3,2024-03-04,COMP0394,138 days
RISK02609,SUPP077,Shutdown,Low,0.67,2021-04-20,COMP0264,100 days
RISK02610,SUPP056,Delay,High,0.32,2022-05-31,COMP0300,35 days
RISK02611,SUPP076,Shortage,Medium,0.07,2024-01-16,COMP0048,26 days
RISK02612,SUPP023,Delay,Low,0.1,2024-09-18,COMP0453,175 days
RISK02613,SUPP052,Shortage,Medium,0.43,2024-03-26,COMP0163,53 days
RISK02614,SUPP073,Delay,High,0.12,2022-11-23,COMP0259,88 days
RISK02615,SUPP062,Shortage,Medium,0.82,2025-07-14,COMP0215,156 days
RISK02616,SUPP012,Shutdown,Medium,0.37,2020-01-14,COMP0389,154 days
RISK02617,SUPP057,Shortage,Medium,0.54,2023-11-30,COMP0041,106 days
RISK02618,SUPP100,Delay,Low,0.66,2023-06-27,COMP0156,176 days
RISK02619,SUPP083,Delay,High,0.58,2023-07-11,COMP0024,57 days
RISK02620,SUPP032,Delay,Medium,0.92,2024-09-10,COMP0484,18 days
RISK02621,SUPP010,Delay,Low,0.31,2023-07-28,COMP0257,171 days
RISK02622,SUPP021,Delay,Medium,0.7,2024-01-20,COMP0354,12 days
RISK02623,SUPP021,Shortage,Low,0.03,2024-05-12,COMP0416,113 days
RISK02624,SUPP081,Delay,Low,0.09,2024-09-30,COMP0290,152 days
RISK02625,SUPP083,Shortage,High,0.52,2025-03-02,COMP0281,108 days
RISK02626,SUPP012,Shutdown,Medium,0.24,2021-06-04,COMP0062,87 days
RISK02627,SUPP002,Shutdown,Medium,0.52,2025-04-23,COMP0463,143 days
RISK02628,SUPP015,Shortage,Medium,0.24,2021-02-22,COMP0093,42 days
RISK02629,SUPP043,Delay,Medium,0.41,2025-11-17,COMP0183,22 days
RISK02630,SUPP089,Delay,Medium,0.58,2024-12-02,COMP0376,18 days
RISK02631,SUPP067,Delay,Medium,0.85,2022-04-12,COMP0363,10 days
RISK02632,SUPP023,Shutdown,Medium,0.8,2024-07-08,COMP0351,28 days
RISK02633,SUPP076,Delay,Medium,0.94,2025-03-01,COMP0368,135 days
RISK02634,SUPP068,Shortage,Medium,0.23,2025-01-24,COMP0364,73 days
RISK02635,SUPP017,Delay,Medium,0.69,2020-07-31,COMP0334,151 days
RISK02636,SUPP016,Shutdown,High,0.57,2020-05-23,COMP0376,16 days
RISK02637,SUPP084,Shortage,Medium,0.87,2025-12-31,COMP0424,74 days
RISK02638,SUPP100,Shortage,Medium,0.45,2020-01-05,COMP0347,111 days
RISK02639,SUPP027,Shortage,Medium,0.09,2022-07-10,COMP0020,141 days
RISK02640,SUPP085,Shortage,Medium,0.22,2022-03-10,COMP0029,47 days
RISK02641,SUPP019,Shortage,High,0.55,2023-11-08,COMP0037,169 days
RISK02642,SUPP063,Shutdown,Medium,0.18,2021-02-16,COMP0477,108 days
RISK02643,SUPP064,Shortage,Medium,0.71,2024-04-04,COMP0359,99 days
RISK02644,SUPP014,Delay,Medium,0.88,2022-01-09,COMP0091,95 days
RISK02645,SUPP017,Shutdown,High,0.5,2020-09-30,COMP0386,81 days
RISK02646,SUPP077,Shutdown,Medium,0.42,2025-04-22,COMP0484,71 days
RISK02647,SUPP067,Shutdown,Medium,0.93,2023-04-24,COMP0385,77 days
RISK02648,SUPP040,Shortage,Medium,0.67,2022-05-11,COMP0208,178 days
RISK02649,SUPP084,Shortage,Low,0.38,2020-11-17,COMP0063,174 days
RISK02650,SUPP010,Delay,Medium,0.55,2025-03-18,COMP0276,86 days
RISK02651,SUPP095,Shortage,High,0.09,2023-04-09,COMP0250,136 days
RISK02652,SUPP058,Shutdown,Medium,0.56,2025-04-12,COMP0252,55 days
RISK02653,SUPP033,Shortage,Medium,0.89,2024-09-12,COMP0055,1 days
