Component ID,Component Name,Function Type,Voltage Rating (V),Current Rating (A),Power Rating (W),Resistance / Capacitance / Inductance,Frequency Range,Signal Type,Tolerance (%),Accuracy (%),Efficiency (%),Operating Speed,Operating Temperature Range,Storage Temperature,Thermal Resistance (°C/W),Package Type,Dimensions (L x W x H mm),Weight (g),Mounting Type,Material Type,Conductivity (S/m),Durability,RoHS Compliance,ISO Certification,Industry Standards
COMP0460,Connector-2317,Signal / Power Interconnect,206.0,7.777,374.171,N/A,10 Hz – 100 MHz,Mixed-Signal,2.0,98.44,88.3,1000 MHz,0°C to 105°C,-55°C to 150°C,135.6,SMD 1206,26.5 x 16.78 x 13.72 mm,87.7743,THT,Electrolytic Aluminum,9526263 S/m,Medium,Yes,IATF 16949,IEC 61000-4
COMP0471,MOSFET-8141,Switching / Power Control,42.1,11.324,253.946,N/A,10 Hz – 10 MHz,Mixed-Signal,0.1,94.07,86.5,1000 MHz,-25°C to 105°C,-40°C to 125°C,63.9,QFP-100,33.63 x 13.89 x 9.03 mm,60.5992,SMT,GaN,8555142 S/m,High,No,None,IPC-A-610
COMP0231,Microcontroller-6139,Processing / Control,56.5,45.132,386.173,N/A,100 Hz – 10 MHz,Digital,0.1,94.38,70.1,8 MHz,-55°C to 125°C,-55°C to 150°C,112.2,DIP-8,14.79 x 25.06 x 13.86 mm,39.4433,Press-fit,SiC,7387117 S/m,Medium,Yes,ISO 45001:2018,MIL-STD-810
COMP0039,MOSFET-3803,Switching / Power Control,404.8,24.744,361.625,N/A,1000 Hz – 1 MHz,Mixed-Signal,0.1,95.75,87.3,16 MHz,0°C to 105°C,-40°C to 105°C,128.0,BGA-256,32.79 x 4.12 x 7.49 mm,79.6415,SMT,GaN,8767497 S/m,High,Yes,IATF 16949,IEC 61000-4
COMP0074,LED-5315,Visual Indication / Illumination,492.1,41.914,296.116,N/A,100 Hz – 1 MHz,Analog,2.0,96.07,80.7,400 MHz,-40°C to 105°C,-65°C to 150°C,7.1,TO-92,43.35 x 1.63 x 3.46 mm,90.7318,SMT,Carbon Composition,4137268 S/m,High,Yes,ISO 14001:2015,IPC-2221
COMP0485,Resistor-9889,Current Limiting / Voltage Division,159.0,24.95,497.447,10000 Ω,1 Hz – 100 MHz,RF,2.0,95.5,87.9,1 MHz,-40°C to 175°C,-65°C to 85°C,53.7,SMD 0805,39.0 x 19.06 x 16.22 mm,5.2168,SMT,Carbon Composition,7046922 S/m,High,Yes,ISO 9001:2015,MIL-STD-810
COMP0376,Inductor-8988,Energy Storage / EMI Filtering,169.8,21.34,434.927,700.8 µH,1000 Hz – 10 MHz,Digital,2.0,90.71,99.0,48 MHz,0°C to 125°C,-40°C to 85°C,57.5,QFN-32,33.09 x 15.04 x 13.85 mm,66.6593,SMT,Metal Film,2207082 S/m,High,Yes,ISO 14001:2015,UL 94V-0
COMP0143,LED-8973,Visual Indication / Illumination,70.2,21.979,236.515,N/A,1000 Hz – 10 MHz,Power,0.1,97.65,73.6,1 MHz,-25°C to 150°C,-40°C to 150°C,32.7,QFP-32,2.55 x 5.3 x 19.48 mm,2.9256,THT,Ceramic,7747348 S/m,High,Yes,ISO 45001:2018,UL 94V-0
COMP0016,LED-7924,Visual Indication / Illumination,351.1,40.631,486.519,N/A,10 Hz – 1000 MHz,Digital,2.0,94.07,79.1,200 MHz,-55°C to 105°C,-65°C to 125°C,2.4,QFP-100,27.34 x 11.25 x 15.78 mm,43.4595,SMT,FR4 Laminate,3896638 S/m,High,Yes,ISO 14001:2015,UL 94V-0
COMP0125,Capacitor-5073,Energy Storage / Filtering,219.8,32.772,426.749,1389.8 µF,1 Hz – 1 MHz,Mixed-Signal,10.0,97.91,73.1,200 MHz,-40°C to 70°C,-65°C to 85°C,5.5,SMD 0603,39.14 x 25.03 x 9.31 mm,49.4165,Press-fit,GaN,2897642 S/m,Medium,Yes,ISO 45001:2018,IPC-7711
COMP0235,Transistor-1727,Switching / Amplification,25.3,36.787,225.283,N/A,100 Hz – 100 MHz,RF,10.0,99.14,94.9,120 MHz,0°C to 125°C,-65°C to 125°C,72.1,TO-92,12.47 x 26.83 x 8.25 mm,12.8045,SMT,Electrolytic Aluminum,7635164 S/m,Medium,Yes,ISO 9001:2015,UL 94V-0
COMP0329,Connector-6355,Signal / Power Interconnect,454.9,25.216,444.788,N/A,1 Hz – 10 MHz,Mixed-Signal,0.5,95.61,97.1,8 MHz,-55°C to 105°C,-65°C to 85°C,6.8,DIP-16,17.58 x 16.05 x 14.42 mm,85.061,Press-fit,Ceramic,6917648 S/m,Medium,Yes,None,IPC-2221
COMP0208,Diode-3662,Rectification / ESD Protection,192.2,11.762,215.817,N/A,100 Hz – 10 MHz,RF,10.0,91.37,79.8,1 MHz,-40°C to 150°C,-40°C to 150°C,105.4,DIP-16,1.85 x 2.38 x 11.16 mm,7.588,SMT,Metal Oxide,363689 S/m,High,Yes,None,MIL-STD-810
COMP0372,Connector-4995,Signal / Power Interconnect,102.8,22.57,436.154,N/A,100 Hz – 1000 MHz,Digital,0.1,91.31,88.9,16 MHz,-25°C to 150°C,-55°C to 125°C,144.9,SOT-23,31.8 x 28.38 x 18.74 mm,81.0082,SMT,Metal Film,7502892 S/m,Medium,No,ISO 9001:2015,IPC-2221
COMP0034,Connector-6977,Signal / Power Interconnect,424.0,12.029,205.457,N/A,10 Hz – 1 MHz,Mixed-Signal,2.0,97.2,98.7,32 MHz,-25°C to 175°C,-55°C to 150°C,51.1,QFP-64,14.29 x 13.99 x 3.29 mm,70.2855,SMT,GaN,1587579 S/m,High,Yes,ISO 9001:2015,IPC-7711
COMP0302,Capacitor-7797,Energy Storage / Filtering,492.1,5.174,365.019,2077.6 µF,10 Hz – 100 MHz,Digital,1.0,97.83,94.8,8 MHz,-55°C to 175°C,-65°C to 105°C,47.1,SOIC-28,34.54 x 8.63 x 14.46 mm,66.4478,SMT,Electrolytic Aluminum,1932202 S/m,Medium,Yes,ISO 9001:2015,JEDEC JESD22
COMP0291,Sensor-8939,Signal Acquisition / Measurement,574.6,10.803,240.099,N/A,1 Hz – 1000 MHz,RF,0.5,91.66,74.3,1000 MHz,-55°C to 70°C,-40°C to 85°C,128.8,DIP-28,14.29 x 8.09 x 16.65 mm,82.2879,SMT,SiC,9119017 S/m,Low,No,ISO 45001:2018,UL 94V-0
COMP0089,Capacitor-8962,Energy Storage / Filtering,472.6,38.045,399.655,1198.6 µF,100 Hz – 1000 MHz,Digital,1.0,93.97,83.1,120 MHz,-55°C to 105°C,-65°C to 125°C,45.7,QFN-16,19.63 x 25.45 x 17.11 mm,23.1035,SMT,Electrolytic Aluminum,4713774 S/m,High,Yes,ISO 45001:2018,IPC-7711
COMP0292,Crystal-4919,Frequency Reference / Timing,517.8,38.938,315.597,N/A,100 Hz – 1000 MHz,Power,1.0,93.9,77.5,16 MHz,0°C to 125°C,-40°C to 85°C,135.3,SOT-223,9.82 x 17.18 x 14.47 mm,20.7709,Press-fit,Silicon,159401 S/m,Medium,Yes,None,JEDEC JESD22
COMP0302,Capacitor-7797,Energy Storage / Filtering,243.8,5.675,299.291,1460.0 µF,10 Hz – 100 MHz,Digital,5.0,95.28,96.2,1000 MHz,-55°C to 150°C,-55°C to 150°C,123.3,DIP-16,34.31 x 17.68 x 14.07 mm,65.4043,SMT,Ceramic,508536 S/m,Medium,Yes,None,IPC-2221
COMP0060,Resistor-2796,Current Limiting / Voltage Division,450.1,3.986,324.182,100000 Ω,1000 Hz – 10 MHz,Digital,10.0,94.87,92.4,16 MHz,-55°C to 85°C,-55°C to 105°C,147.8,SOT-223,30.93 x 26.59 x 6.38 mm,66.4325,SMT,Silicon,1738610 S/m,Medium,Yes,ISO 45001:2018,IPC-7711
COMP0022,Microcontroller-5333,Processing / Control,297.3,3.698,360.714,N/A,1 Hz – 1 MHz,Digital,1.0,99.71,86.3,48 MHz,-55°C to 150°C,-40°C to 125°C,55.5,SOT-23,26.67 x 7.1 x 2.06 mm,67.4133,Press-fit,FR4 Laminate,3425908 S/m,Medium,Yes,ISO 9001:2015,AEC-Q200
COMP0210,Resistor-3938,Current Limiting / Voltage Division,379.8,43.296,367.696,100000 Ω,1 Hz – 1 MHz,Power,0.5,96.24,75.9,400 MHz,-40°C to 150°C,-40°C to 150°C,138.2,SOT-223,37.71 x 9.18 x 11.34 mm,34.16,SMT,Film,6477972 S/m,High,Yes,ISO 45001:2018,AEC-Q100
COMP0481,Connector-2442,Signal / Power Interconnect,263.4,15.932,306.797,N/A,1000 Hz – 10 MHz,Analog,10.0,96.31,96.6,200 MHz,0°C to 150°C,-55°C to 85°C,22.0,TO-92,6.24 x 10.28 x 10.53 mm,75.7556,SMT,Carbon Composition,8559606 S/m,Medium,Yes,ISO 45001:2018,IPC-7711
COMP0116,IC-4119,Signal Processing / Logic,76.6,3.204,120.225,N/A,10 Hz – 10 MHz,Analog,0.1,97.05,98.6,1 MHz,0°C to 150°C,-65°C to 125°C,145.1,SMD 1206,46.3 x 8.31 x 13.02 mm,1.2998,THT,Ceramic,5225249 S/m,Medium,Yes,ISO 9001:2015,IPC-A-610
COMP0342,Connector-2874,Signal / Power Interconnect,19.0,3.346,54.876,N/A,100 Hz – 10 MHz,Analog,0.1,91.49,87.1,1 MHz,-25°C to 125°C,-40°C to 105°C,132.7,SOIC-28,36.46 x 0.69 x 13.88 mm,94.5033,SMT,Metal Film,3577060 S/m,High,Yes,ISO 9001:2015,AEC-Q200
COMP0124,LED-6559,Visual Indication / Illumination,511.3,11.011,321.009,N/A,100 Hz – 100 MHz,Mixed-Signal,10.0,90.24,94.3,48 MHz,-40°C to 175°C,-55°C to 85°C,46.5,SMD 0805,41.11 x 7.58 x 16.5 mm,25.2529,SMT,SiC,7800846 S/m,High,Yes,ISO 9001:2015,AEC-Q100
COMP0326,Inductor-1823,Energy Storage / EMI Filtering,508.0,6.159,483.275,907.2 µH,1000 Hz – 100 MHz,Power,2.0,99.89,90.5,48 MHz,-40°C to 125°C,-40°C to 150°C,127.2,SMD 0402,29.25 x 4.72 x 15.57 mm,27.8123,SMT,Electrolytic Aluminum,5328892 S/m,High,Yes,ISO 9001:2015,AEC-Q100
COMP0268,Resistor-5011,Current Limiting / Voltage Division,311.3,33.082,463.727,220 Ω,100 Hz – 1 MHz,Mixed-Signal,2.0,97.26,72.9,16 MHz,-55°C to 85°C,-55°C to 125°C,73.7,SMD 0805,19.68 x 14.89 x 1.57 mm,4.0582,SMT,Metal Film,3555318 S/m,Low,Yes,ISO 9001:2015,UL 94V-0
COMP0031,Transistor-2307,Switching / Amplification,162.6,11.937,436.584,N/A,1000 Hz – 10 MHz,RF,0.1,94.45,86.8,48 MHz,-40°C to 70°C,-55°C to 125°C,21.8,SMD 0402,10.45 x 27.72 x 13.43 mm,99.6782,Press-fit,Silicon,1859848 S/m,Medium,Yes,None,IPC-7711
COMP0209,Inductor-7755,Energy Storage / EMI Filtering,547.8,33.035,471.278,195.7 µH,100 Hz – 1000 MHz,Digital,0.5,91.84,98.2,1000 MHz,-55°C to 125°C,-40°C to 105°C,43.6,QFN-16,5.34 x 13.39 x 5.06 mm,87.6604,SMT,Metal Oxide,329230 S/m,Low,No,ISO 45001:2018,MIL-STD-810
COMP0404,Transistor-9595,Switching / Amplification,147.4,41.039,263.008,N/A,10 Hz – 1000 MHz,Mixed-Signal,2.0,92.75,85.7,8 MHz,0°C to 85°C,-65°C to 85°C,138.8,SMD 1210,22.87 x 15.09 x 17.97 mm,82.9581,Press-fit,SiC,5314945 S/m,High,Yes,ISO 9001:2015,UL 94V-0
COMP0404,Transistor-9595,Switching / Amplification,279.7,30.166,253.939,N/A,10 Hz – 1 MHz,RF,0.5,97.25,93.4,100 MHz,0°C to 125°C,-65°C to 105°C,118.1,SOT-223,32.83 x 24.78 x 3.74 mm,33.4053,SMT,Electrolytic Aluminum,4149610 S/m,Medium,Yes,ISO 9001:2015,IPC-2221
COMP0411,Inductor-5494,Energy Storage / EMI Filtering,420.3,11.445,225.992,73.0 µH,1 Hz – 1 MHz,RF,1.0,90.64,90.2,48 MHz,-25°C to 150°C,-65°C to 150°C,45.3,LGA-64,4.67 x 12.87 x 14.84 mm,17.5402,THT,Silicon,3421256 S/m,High,Yes,ISO 9001:2015,AEC-Q100
COMP0065,MOSFET-8668,Switching / Power Control,544.6,20.55,389.898,N/A,1 Hz – 1 MHz,Digital,5.0,95.86,89.0,200 MHz,-25°C to 150°C,-40°C to 85°C,5.9,SMD 0603,21.37 x 16.96 x 19.17 mm,43.9725,SMT,GaN,9483892 S/m,Medium,Yes,None,IEC 61000-4
COMP0400,LED-9779,Visual Indication / Illumination,101.5,23.471,404.716,N/A,1000 Hz – 100 MHz,Analog,0.1,99.61,92.2,200 MHz,0°C to 85°C,-40°C to 150°C,46.8,TO-247,19.35 x 6.85 x 7.75 mm,41.1693,SMT,FR4 Laminate,1896588 S/m,Low,Yes,IATF 16949,MIL-STD-810
COMP0045,Resistor-4752,Current Limiting / Voltage Division,339.9,47.956,357.029,47 Ω,1 Hz – 10 MHz,Analog,2.0,98.4,97.2,400 MHz,-55°C to 175°C,-40°C to 85°C,20.5,SOIC-8,33.36 x 4.66 x 4.44 mm,79.6246,SMT,Metal Oxide,161509 S/m,Medium,Yes,ISO 9001:2015,AEC-Q100
COMP0256,IC-6279,Signal Processing / Logic,533.3,29.666,429.642,N/A,1000 Hz – 100 MHz,Analog,2.0,92.77,85.7,16 MHz,-40°C to 175°C,-55°C to 150°C,14.6,LGA-16,34.7 x 11.36 x 10.39 mm,40.8106,SMT,Metal Film,1942554 S/m,Medium,Yes,ISO 9001:2015,IPC-7711
COMP0271,Crystal-4185,Frequency Reference / Timing,254.7,46.853,476.697,N/A,1 Hz – 100 MHz,Power,1.0,97.93,90.4,100 MHz,-55°C to 105°C,-65°C to 125°C,6.3,DIP-16,30.85 x 21.35 x 19.71 mm,95.78,THT,Metal Film,3917486 S/m,High,Yes,ISO 45001:2018,AEC-Q200
COMP0457,LED-7594,Visual Indication / Illumination,384.1,46.888,202.78,N/A,100 Hz – 1000 MHz,Analog,0.5,97.9,90.7,48 MHz,-55°C to 125°C,-55°C to 125°C,39.4,SOT-23,11.76 x 24.9 x 11.03 mm,77.302,THT,Metal Oxide,4309033 S/m,Medium,Yes,None,AEC-Q100
COMP0361,IC-6934,Signal Processing / Logic,189.2,13.734,346.476,N/A,10 Hz – 1000 MHz,Analog,10.0,91.26,81.5,400 MHz,-55°C to 70°C,-65°C to 125°C,70.7,TO-92,40.65 x 24.51 x 17.3 mm,23.7175,SMT,Metal Film,8945079 S/m,High,Yes,IATF 16949,IPC-A-610
COMP0053,Inductor-5040,Energy Storage / EMI Filtering,275.2,28.043,269.437,974.7 µH,100 Hz – 100 MHz,Digital,0.5,90.79,94.7,8 MHz,-40°C to 125°C,-55°C to 85°C,52.4,LGA-64,23.06 x 10.05 x 9.85 mm,76.4188,SMT,FR4 Laminate,4275867 S/m,Medium,Yes,ISO 14001:2015,IPC-A-610
COMP0054,LED-9830,Visual Indication / Illumination,136.3,16.472,264.74,N/A,10 Hz – 10 MHz,Power,5.0,91.43,81.1,1000 MHz,0°C to 70°C,-40°C to 125°C,129.2,BGA-324,8.94 x 7.89 x 18.74 mm,44.0462,SMT,Ceramic,1926647 S/m,High,Yes,IATF 16949,IPC-2221
COMP0296,Microcontroller-6238,Processing / Control,103.9,35.672,213.519,N/A,100 Hz – 100 MHz,Analog,0.5,98.82,73.4,400 MHz,-25°C to 175°C,-55°C to 105°C,36.8,QFP-64,12.45 x 12.42 x 4.18 mm,57.7902,SMT,GaN,14074 S/m,High,Yes,ISO 9001:2015,MIL-STD-810
COMP0013,IC-4611,Signal Processing / Logic,176.2,14.912,274.807,N/A,100 Hz – 10 MHz,Mixed-Signal,2.0,98.05,88.8,32 MHz,-40°C to 70°C,-55°C to 85°C,31.7,QFP-64,0.65 x 26.49 x 8.98 mm,80.1374,Press-fit,GaN,993769 S/m,Low,Yes,ISO 14001:2015,IPC-2221
COMP0467,MOSFET-1659,Switching / Power Control,160.8,30.27,391.954,N/A,1 Hz – 1 MHz,Mixed-Signal,5.0,91.86,97.2,8 MHz,-55°C to 175°C,-40°C to 150°C,92.0,BGA-324,3.82 x 25.46 x 17.36 mm,49.3275,Press-fit,GaN,4520649 S/m,High,Yes,ISO 9001:2015,MIL-STD-810
COMP0080,Inductor-7126,Energy Storage / EMI Filtering,258.3,48.89,438.061,889.9 µH,1 Hz – 1 MHz,Power,10.0,91.64,91.5,200 MHz,-55°C to 150°C,-65°C to 105°C,6.0,TO-247,16.75 x 16.44 x 19.32 mm,61.3472,SMT,FR4 Laminate,8164993 S/m,Medium,Yes,ISO 45001:2018,IPC-7711
COMP0096,Diode-9835,Rectification / ESD Protection,250.8,10.766,244.552,N/A,1000 Hz – 10 MHz,Power,0.1,99.57,86.3,100 MHz,-40°C to 70°C,-55°C to 105°C,108.1,SMD 0201,8.4 x 2.37 x 4.79 mm,96.4404,SMT,Electrolytic Aluminum,7325367 S/m,High,Yes,ISO 14001:2015,IPC-7711
COMP0222,Transistor-2137,Switching / Amplification,200.0,7.362,217.014,N/A,1 Hz – 1 MHz,Digital,2.0,98.79,70.5,32 MHz,-55°C to 175°C,-55°C to 150°C,108.1,TO-247,2.68 x 26.42 x 9.36 mm,71.6496,THT,Carbon Composition,9010658 S/m,High,Yes,None,IPC-A-610
COMP0377,Diode-6813,Rectification / ESD Protection,40.5,48.502,261.065,N/A,10 Hz – 10 MHz,Digital,5.0,99.85,73.2,200 MHz,-40°C to 125°C,-55°C to 105°C,52.9,SMD 1206,21.76 x 8.62 x 13.22 mm,52.5914,THT,Carbon Composition,6320408 S/m,Medium,Yes,IATF 16949,IEC 61000-4
COMP0162,Diode-6147,Rectification / ESD Protection,227.1,6.175,428.557,N/A,1 Hz – 1 MHz,Power,0.1,97.68,97.0,72 MHz,0°C to 125°C,-40°C to 105°C,13.5,SMD 1210,14.3 x 17.39 x 4.6 mm,53.4992,SMT,Electrolytic Aluminum,4980393 S/m,High,No,IATF 16949,IEC 61000-4
COMP0338,Resistor-5051,Current Limiting / Voltage Division,122.6,41.592,473.118,1000000 Ω,1000 Hz – 1000 MHz,Digital,2.0,94.45,97.1,8 MHz,-40°C to 105°C,-55°C to 105°C,114.9,LGA-16,40.19 x 23.09 x 15.7 mm,7.0821,SMT,Carbon Composition,8714968 S/m,High,Yes,ISO 14001:2015,AEC-Q200
COMP0212,IC-5065,Signal Processing / Logic,396.7,24.535,202.876,N/A,10 Hz – 100 MHz,Analog,0.5,91.95,93.0,400 MHz,0°C to 85°C,-55°C to 105°C,98.2,SOIC-16,17.88 x 21.68 x 4.34 mm,52.0425,SMT,FR4 Laminate,4616764 S/m,High,Yes,ISO 14001:2015,JEDEC JESD22
COMP0146,Resistor-9883,Current Limiting / Voltage Division,108.3,17.514,396.897,100 Ω,1000 Hz – 1000 MHz,Analog,2.0,92.58,91.2,32 MHz,-40°C to 105°C,-40°C to 125°C,125.7,SOIC-28,10.64 x 4.2 x 0.5 mm,45.0747,Press-fit,Film,7971861 S/m,High,Yes,None,UL 94V-0
COMP0467,MOSFET-1659,Switching / Power Control,325.9,35.066,491.726,N/A,100 Hz – 1 MHz,Mixed-Signal,5.0,91.62,98.8,100 MHz,-40°C to 85°C,-55°C to 85°C,58.4,TSSOP-20,40.94 x 18.63 x 2.4 mm,27.5016,SMT,GaN,9331934 S/m,Medium,Yes,None,IPC-2221
COMP0103,Capacitor-6539,Energy Storage / Filtering,431.6,7.481,235.948,3969.8 µF,10 Hz – 10 MHz,Digital,0.1,97.81,85.5,1 MHz,-40°C to 105°C,-55°C to 150°C,13.5,QFN-16,43.2 x 3.96 x 3.44 mm,73.3677,SMT,Metal Oxide,3868586 S/m,High,Yes,ISO 45001:2018,UL 94V-0
COMP0306,Diode-7883,Rectification / ESD Protection,151.5,12.37,245.54,N/A,100 Hz – 10 MHz,Mixed-Signal,2.0,97.99,84.8,200 MHz,-25°C to 125°C,-40°C to 85°C,56.2,QFN-16,14.28 x 10.99 x 9.98 mm,64.921,SMT,Ceramic,8615609 S/m,High,Yes,ISO 45001:2018,AEC-Q200
COMP0332,Transistor-2341,Switching / Amplification,137.9,43.398,408.918,N/A,100 Hz – 1000 MHz,RF,10.0,93.68,83.3,16 MHz,0°C to 175°C,-65°C to 125°C,114.4,SMD 1210,20.16 x 10.96 x 6.72 mm,85.1083,THT,GaN,3927661 S/m,High,Yes,None,AEC-Q200
COMP0227,Capacitor-5279,Energy Storage / Filtering,490.9,27.704,351.092,45.0 µF,100 Hz – 10 MHz,Mixed-Signal,0.1,95.97,81.5,8 MHz,0°C to 175°C,-55°C to 125°C,138.3,SOT-223,6.93 x 0.47 x 8.2 mm,56.033,SMT,Metal Oxide,7354749 S/m,Medium,Yes,IATF 16949,AEC-Q100
COMP0291,Sensor-8939,Signal Acquisition / Measurement,540.6,39.096,276.775,N/A,100 Hz – 1 MHz,RF,2.0,96.69,93.0,48 MHz,-25°C to 125°C,-55°C to 125°C,96.6,QFN-32,29.71 x 4.78 x 10.99 mm,34.5264,Press-fit,Ceramic,8956046 S/m,High,No,ISO 14001:2015,AEC-Q100
COMP0113,Diode-9834,Rectification / ESD Protection,140.6,20.174,342.474,N/A,1 Hz – 10 MHz,Power,10.0,97.26,93.3,8 MHz,-55°C to 175°C,-55°C to 85°C,3.4,QFN-32,44.4 x 28.94 x 16.45 mm,51.1368,THT,Metal Oxide,1077854 S/m,Medium,Yes,ISO 45001:2018,MIL-STD-810
COMP0425,Inductor-3444,Energy Storage / EMI Filtering,477.4,9.044,315.06,165.6 µH,100 Hz – 10 MHz,Digital,0.1,96.9,96.2,1 MHz,-25°C to 70°C,-65°C to 105°C,74.4,QFP-64,24.77 x 5.77 x 13.57 mm,30.1811,SMT,SiC,1554457 S/m,High,Yes,IATF 16949,IEC 61000-4
COMP0481,Connector-2442,Signal / Power Interconnect,202.1,47.514,434.893,N/A,10 Hz – 100 MHz,Analog,2.0,90.91,75.5,400 MHz,-25°C to 150°C,-40°C to 150°C,48.0,LGA-16,11.21 x 28.94 x 15.19 mm,57.9625,SMT,Carbon Composition,2090004 S/m,High,Yes,IATF 16949,IPC-A-610
COMP0237,Resistor-9518,Current Limiting / Voltage Division,285.5,32.396,418.29,10 Ω,10 Hz – 1000 MHz,Analog,0.5,93.04,70.9,8 MHz,0°C to 175°C,-65°C to 105°C,48.2,QFN-16,19.81 x 6.76 x 6.19 mm,40.929,THT,Metal Film,4112726 S/m,High,Yes,ISO 45001:2018,IPC-2221
COMP0154,MOSFET-2113,Switching / Power Control,285.4,2.043,444.22,N/A,1000 Hz – 1000 MHz,Analog,0.5,90.86,71.3,72 MHz,-55°C to 70°C,-65°C to 105°C,73.8,SOIC-28,22.06 x 3.46 x 10.24 mm,77.4687,THT,Carbon Composition,9773488 S/m,Medium,Yes,ISO 14001:2015,AEC-Q200
COMP0284,Sensor-6198,Signal Acquisition / Measurement,538.1,17.125,361.51,N/A,1 Hz – 10 MHz,Power,1.0,95.35,89.5,72 MHz,-55°C to 105°C,-55°C to 105°C,56.2,QFN-48,35.47 x 24.45 x 13.8 mm,44.174,SMT,Film,5605401 S/m,High,Yes,IATF 16949,JEDEC JESD22
COMP0340,MOSFET-3496,Switching / Power Control,184.9,29.648,434.654,N/A,1000 Hz – 100 MHz,Analog,10.0,90.93,84.2,8 MHz,-40°C to 150°C,-65°C to 150°C,32.6,SMD 0402,45.99 x 15.25 x 13.48 mm,50.3147,Press-fit,GaN,5775939 S/m,Medium,Yes,None,IEC 61000-4
COMP0084,Connector-1319,Signal / Power Interconnect,86.1,3.224,233.628,N/A,10 Hz – 10 MHz,Digital,0.5,95.68,89.1,400 MHz,-25°C to 125°C,-65°C to 85°C,126.5,QFP-100,32.78 x 3.53 x 15.17 mm,86.7457,SMT,FR4 Laminate,7233652 S/m,High,No,ISO 9001:2015,IEC 61000-4
COMP0317,IC-6507,Signal Processing / Logic,10.2,0.333,2.419,N/A,1 Hz – 10 MHz,RF,5.0,91.69,91.0,400 MHz,0°C to 125°C,-40°C to 150°C,100.8,BGA-144,10.88 x 7.64 x 2.57 mm,87.7931,SMT,Metal Film,4373323 S/m,Medium,Yes,None,UL 94V-0
COMP0287,Connector-3607,Signal / Power Interconnect,78.1,10.648,383.744,N/A,1 Hz – 1 MHz,Mixed-Signal,0.5,91.57,84.8,16 MHz,-25°C to 70°C,-40°C to 105°C,96.0,QFN-32,38.06 x 6.09 x 5.14 mm,93.3109,THT,SiC,4183443 S/m,Medium,Yes,IATF 16949,IPC-A-610
COMP0417,MOSFET-5658,Switching / Power Control,569.3,36.437,400.602,N/A,10 Hz – 1000 MHz,Analog,0.1,93.82,84.2,8 MHz,-40°C to 105°C,-40°C to 105°C,67.4,QFN-48,1.39 x 15.97 x 15.13 mm,50.8604,THT,Electrolytic Aluminum,2830691 S/m,Medium,Yes,None,IPC-2221
COMP0464,Resistor-2496,Current Limiting / Voltage Division,478.2,20.948,358.967,470 Ω,1000 Hz – 100 MHz,Mixed-Signal,5.0,90.2,94.6,16 MHz,-55°C to 105°C,-55°C to 150°C,25.1,SMD 0201,27.19 x 12.81 x 1.64 mm,38.9848,SMT,Electrolytic Aluminum,1804986 S/m,Medium,Yes,None,IPC-2221
COMP0019,Microcontroller-2674,Processing / Control,327.7,39.807,418.562,N/A,100 Hz – 10 MHz,Analog,10.0,98.92,87.7,200 MHz,-55°C to 175°C,-65°C to 125°C,93.1,SMD 0402,43.72 x 1.65 x 16.21 mm,72.3083,SMT,FR4 Laminate,7748540 S/m,High,Yes,ISO 14001:2015,IPC-7711
COMP0375,Connector-6325,Signal / Power Interconnect,390.5,19.922,465.429,N/A,1 Hz – 10 MHz,Power,10.0,96.88,89.3,1 MHz,-40°C to 70°C,-40°C to 105°C,89.7,QFP-100,31.44 x 2.5 x 17.2 mm,96.1576,SMT,FR4 Laminate,3119608 S/m,High,Yes,IATF 16949,IPC-2221
COMP0001,Crystal-2824,Frequency Reference / Timing,293.2,11.714,200.881,N/A,10 Hz – 1000 MHz,Digital,5.0,90.7,98.3,1 MHz,-40°C to 70°C,-55°C to 105°C,134.7,BGA-324,30.18 x 8.72 x 1.19 mm,42.2869,SMT,Carbon Composition,6272326 S/m,High,Yes,ISO 45001:2018,UL 94V-0
COMP0412,Resistor-1893,Current Limiting / Voltage Division,453.3,17.022,377.402,470 Ω,100 Hz – 1 MHz,RF,5.0,95.38,85.5,1000 MHz,-55°C to 175°C,-40°C to 105°C,119.3,BGA-144,8.21 x 6.27 x 11.64 mm,69.5048,THT,SiC,6511069 S/m,High,Yes,None,AEC-Q100
COMP0350,IC-4249,Signal Processing / Logic,5.0,43.652,101.497,N/A,10 Hz – 1000 MHz,Analog,2.0,93.94,75.9,32 MHz,0°C to 175°C,-40°C to 85°C,115.4,TO-220,33.79 x 15.18 x 1.93 mm,91.8447,SMT,SiC,7032071 S/m,Medium,Yes,ISO 9001:2015,MIL-STD-810
COMP0105,MOSFET-4608,Switching / Power Control,178.7,16.552,343.215,N/A,100 Hz – 1 MHz,Analog,1.0,96.78,90.0,1000 MHz,-25°C to 70°C,-55°C to 105°C,6.3,LGA-16,45.11 x 22.94 x 13.99 mm,16.4606,THT,Ceramic,1674952 S/m,High,Yes,None,MIL-STD-810
COMP0456,Connector-5982,Signal / Power Interconnect,491.8,42.185,351.747,N/A,10 Hz – 1000 MHz,Digital,0.5,94.57,88.7,1000 MHz,-55°C to 105°C,-55°C to 85°C,130.9,DIP-8,16.45 x 22.86 x 8.53 mm,9.9268,SMT,Metal Film,1038780 S/m,High,Yes,ISO 14001:2015,IPC-A-610
