Supplier ID,Component ID,Past Risk Events,Failure Frequency (occurrences/year),Downtime Duration,Recovery Time,Risk Outcome (Success/Failure)
SUPP094,COMP0378,Logistics disruption — carrier strike,4.32,134 days,78 days,Failure
SUPP099,COMP0154,Sudden capacity reduction by supplier,11.1,270 days,136 days,Success
SUPP042,COMP0448,Supplier financial instability,7.45,220 days,52 days,Failure
SUPP074,COMP0399,Delivery delay due to port congestion,10.77,13 days,3 days,Success
SUPP026,COMP0231,Export control regulation change,1.06,219 days,133 days,Failure
SUPP092,COMP0230,Pandemic-related facility shutdown,7.75,83 days,64 days,Failure
SUPP009,COMP0163,Delivery delay due to port congestion,11.55,187 days,11 days,Failure
SUPP075,COMP0153,Quality defect — batch recall issued,6.41,262 days,165 days,Success
SUPP030,COMP0259,Sudden capacity reduction by supplier,3.29,26 days,17 days,Success
SUPP038,COMP0022,Geopolitical trade restriction imposed,9.33,116 days,83 days,Failure
SUPP051,COMP0334,Supply shortage due to factory fire,3.57,136 days,40 days,Success
SUPP095,COMP0029,Counterfeit component detection,2.99,175 days,158 days,Failure
SUPP058,COMP0485,Delivery delay due to port congestion,3.98,257 days,221 days,Success
SUPP088,COMP0216,Logistics disruption — carrier strike,10.79,249 days,49 days,Success
SUPP009,COMP0485,Geopolitical trade restriction imposed,5.5,72 days,7 days,Success
SUPP044,COMP0016,Supply shortage due to factory fire,7.15,237 days,180 days,Success
SUPP072,COMP0294,Logistics disruption — carrier strike,4.05,166 days,25 days,Success
SUPP040,COMP0278,Quality defect — batch recall issued,4.25,77 days,64 days,Failure
SUPP076,COMP0225,Export control regulation change,1.63,86 days,14 days,Failure
SUPP016,COMP0034,Geopolitical trade restriction imposed,7.9,50 days,20 days,Failure
SUPP036,COMP0104,Supply shortage due to factory fire,11.05,206 days,64 days,Failure
SUPP056,COMP0104,Counterfeit component detection,0.27,78 days,60 days,Success
SUPP079,COMP0499,Geopolitical trade restriction imposed,3.35,108 days,62 days,Success
SUPP019,COMP0375,Raw material scarcity — price surge,4.34,112 days,89 days,Success
SUPP073,COMP0100,Counterfeit component detection,10.39,315 days,83 days,Failure
SUPP071,COMP0328,Raw material scarcity — price surge,3.38,112 days,81 days,Failure
SUPP018,COMP0204,Wafer fab yield drop below threshold,4.11,36 days,10 days,Success
SUPP088,COMP0329,Delivery delay due to port congestion,10.14,264 days,35 days,Failure
SUPP026,COMP0431,Sudden capacity reduction by supplier,3.86,137 days,45 days,Success
SUPP068,COMP0444,Sudden capacity reduction by supplier,11.86,79 days,47 days,Failure
SUPP041,COMP0169,Pandemic-related facility shutdown,11.08,224 days,84 days,Success
SUPP052,COMP0146,Logistics disruption — carrier strike,8.95,54 days,54 days,Success
SUPP054,COMP0133,Export control regulation change,11.06,40 days,24 days,Success
SUPP064,COMP0112,Counterfeit component detection,4.55,162 days,123 days,Failure
SUPP028,COMP0204,Quality defect — batch recall issued,11.8,339 days,87 days,Success
SUPP081,COMP0018,Component discontinuation announcement,6.3,361 days,190 days,Success
SUPP060,COMP0335,Pandemic-related facility shutdown,0.15,263 days,4 days,Success
SUPP077,COMP0418,Delivery delay due to port congestion,1.79,83 days,64 days,Success
SUPP004,COMP0106,Supply shortage due to factory fire,10.61,38 days,2 days,Success
SUPP056,COMP0151,Pandemic-related facility shutdown,8.89,282 days,22 days,Success
SUPP017,COMP0197,Counterfeit component detection,10.6,247 days,112 days,Failure
SUPP066,COMP0045,Export control regulation change,8.81,285 days,88 days,Success
SUPP069,COMP0215,Natural disaster impact on fab,10.67,154 days,5 days,Success
SUPP028,COMP0063,Supply shortage due to factory fire,1.8,174 days,51 days,Success
SUPP018,COMP0118,Wafer fab yield drop below threshold,2.39,281 days,114 days,Success
SUPP014,COMP0238,Counterfeit component detection,6.83,208 days,54 days,Success
SUPP085,COMP0059,Supplier financial instability,6.28,319 days,82 days,Failure
SUPP060,COMP0054,Natural disaster impact on fab,11.06,19 days,7 days,Success
SUPP029,COMP0299,Geopolitical trade restriction imposed,10.89,242 days,79 days,Success
SUPP030,COMP0292,Raw material scarcity — price surge,3.05,307 days,108 days,Failure
SUPP088,COMP0369,Supplier financial instability,7.68,5 days,2 days,Success
SUPP079,COMP0460,Logistics disruption — carrier strike,7.19,69 days,52 days,Failure
SUPP069,COMP0346,Logistics disruption — carrier strike,7.24,318 days,240 days,Success
SUPP083,COMP0127,Raw material scarcity — price surge,4.26,98 days,24 days,Success
SUPP055,COMP0487,Supply shortage due to factory fire,11.79,191 days,131 days,Success
SUPP048,COMP0436,Raw material scarcity — price surge,2.53,156 days,128 days,Success
SUPP035,COMP0184,Pandemic-related facility shutdown,3.4,105 days,68 days,Failure
SUPP027,COMP0367,Logistics disruption — carrier strike,8.3,289 days,218 days,Success
SUPP012,COMP0318,Natural disaster impact on fab,7.58,152 days,130 days,Success
SUPP066,COMP0333,Delivery delay due to port congestion,0.64,44 days,5 days,Failure
SUPP099,COMP0407,Geopolitical trade restriction imposed,1.11,281 days,205 days,Success
SUPP093,COMP0321,Quality defect — batch recall issued,1.59,157 days,130 days,Success
SUPP038,COMP0040,Delivery delay due to port congestion,10.9,162 days,10 days,Success
SUPP089,COMP0378,Export control regulation change,6.39,183 days,136 days,Failure
SUPP033,COMP0450,Delivery delay due to port congestion,9.77,155 days,77 days,Success
SUPP093,COMP0039,Raw material scarcity — price surge,6.04,208 days,164 days,Success
SUPP013,COMP0484,Wafer fab yield drop below threshold,2.37,125 days,31 days,Success
SUPP017,COMP0326,Wafer fab yield drop below threshold,11.83,30 days,24 days,Success
SUPP027,COMP0389,Delivery delay due to port congestion,1.33,139 days,3 days,Failure
SUPP091,COMP0050,Sudden capacity reduction by supplier,4.81,2 days,2 days,Success
SUPP075,COMP0109,Natural disaster impact on fab,7.32,355 days,221 days,Success
SUPP062,COMP0339,Supplier financial instability,6.56,335 days,268 days,Failure
SUPP085,COMP0105,Natural disaster impact on fab,11.69,217 days,59 days,Success
SUPP064,COMP0006,Component discontinuation announcement,4.31,48 days,15 days,Success
SUPP050,COMP0461,Raw material scarcity — price surge,2.49,174 days,48 days,Success
SUPP074,COMP0138,Raw material scarcity — price surge,9.02,240 days,77 days,Success
SUPP066,COMP0117,Pandemic-related facility shutdown,8.74,18 days,13 days,Failure
SUPP066,COMP0220,Sudden capacity reduction by supplier,5.19,188 days,138 days,Success
SUPP035,COMP0139,Logistics disruption — carrier strike,4.89,49 days,13 days,Success
SUPP016,COMP0174,Geopolitical trade restriction imposed,6.02,34 days,17 days,Failure
SUPP100,COMP0375,Sudden capacity reduction by supplier,0.96,34 days,20 days,Success
SUPP039,COMP0303,Geopolitical trade restriction imposed,10.57,319 days,153 days,Failure
SUPP050,COMP0496,Counterfeit component detection,3.98,113 days,55 days,Failure
SUPP074,COMP0113,Supply shortage due to factory fire,2.28,86 days,60 days,Success
SUPP011,COMP0241,Geopolitical trade restriction imposed,0.4,208 days,185 days,Success
SUPP017,COMP0183,Export control regulation change,3.75,107 days,40 days,Success
SUPP099,COMP0452,Component discontinuation announcement,2.74,311 days,66 days,Success
SUPP029,COMP0026,Component discontinuation announcement,5.36,181 days,13 days,Failure
SUPP026,COMP0111,Component discontinuation announcement,6.1,35 days,3 days,Success
SUPP075,COMP0113,Geopolitical trade restriction imposed,6.47,61 days,17 days,Success
SUPP089,COMP0240,Logistics disruption — carrier strike,10.47,304 days,191 days,Failure
SUPP075,COMP0481,Sudden capacity reduction by supplier,1.48,284 days,98 days,Failure
SUPP013,COMP0409,Raw material scarcity — price surge,9.6,196 days,100 days,Success
SUPP038,COMP0097,Sudden capacity reduction by supplier,11.15,153 days,32 days,Success
SUPP027,COMP0087,Supply shortage due to factory fire,9.32,362 days,327 days,Success
SUPP095,COMP0450,Export control regulation change,4.09,171 days,54 days,Success
SUPP004,COMP0066,Logistics disruption — carrier strike,4.06,205 days,85 days,Failure
SUPP070,COMP0120,Raw material scarcity — price surge,1.07,137 days,122 days,Success
SUPP076,COMP0080,Export control regulation change,8.0,72 days,34 days,Success
SUPP032,COMP0192,Delivery delay due to port congestion,0.48,65 days,49 days,Success
SUPP076,COMP0367,Counterfeit component detection,0.83,313 days,170 days,Success
SUPP086,COMP0193,Supply shortage due to factory fire,5.25,157 days,26 days,Success
SUPP099,COMP0216,Quality defect — batch recall issued,10.55,2 days,1 days,Failure
SUPP067,COMP0039,Export control regulation change,9.34,134 days,20 days,Success
SUPP075,COMP0268,Quality defect — batch recall issued,9.25,203 days,97 days,Success
SUPP003,COMP0233,Sudden capacity reduction by supplier,5.22,215 days,15 days,Success
SUPP022,COMP0054,Logistics disruption — carrier strike,7.88,179 days,53 days,Success
SUPP024,COMP0479,Supply shortage due to factory fire,5.29,362 days,208 days,Failure
SUPP013,COMP0051,Raw material scarcity — price surge,11.44,354 days,293 days,Failure
SUPP051,COMP0350,Geopolitical trade restriction imposed,9.27,297 days,56 days,Success
SUPP059,COMP0242,Wafer fab yield drop below threshold,3.56,348 days,63 days,Failure
SUPP004,COMP0107,Export control regulation change,10.35,93 days,82 days,Failure
SUPP078,COMP0287,Sudden capacity reduction by supplier,9.72,357 days,295 days,Success
SUPP003,COMP0329,Sudden capacity reduction by supplier,5.12,245 days,71 days,Success
SUPP021,COMP0141,Wafer fab yield drop below threshold,5.33,4 days,3 days,Success
SUPP077,COMP0207,Quality defect — batch recall issued,8.67,103 days,71 days,Failure
SUPP007,COMP0196,Raw material scarcity — price surge,2.63,190 days,167 days,Failure
SUPP008,COMP0171,Supply shortage due to factory fire,7.06,35 days,24 days,Success
SUPP015,COMP0218,Delivery delay due to port congestion,6.04,34 days,2 days,Success
SUPP009,COMP0112,Natural disaster impact on fab,7.74,192 days,160 days,Success
SUPP079,COMP0086,Natural disaster impact on fab,5.99,143 days,132 days,Success
SUPP043,COMP0371,Supply shortage due to factory fire,4.0,68 days,28 days,Failure
SUPP054,COMP0178,Supplier financial instability,4.63,174 days,137 days,Failure
SUPP034,COMP0146,Delivery delay due to port congestion,0.5,142 days,123 days,Success
SUPP096,COMP0414,Quality defect — batch recall issued,2.87,275 days,237 days,Failure
SUPP031,COMP0407,Pandemic-related facility shutdown,8.76,231 days,64 days,Success
SUPP060,COMP0242,Supplier financial instability,2.0,200 days,4 days,Success
SUPP086,COMP0232,Raw material scarcity — price surge,0.23,90 days,86 days,Failure
SUPP016,COMP0334,Geopolitical trade restriction imposed,5.18,290 days,261 days,Failure
SUPP013,COMP0354,Natural disaster impact on fab,8.0,179 days,81 days,Success
SUPP029,COMP0318,Component discontinuation announcement,1.04,58 days,33 days,Failure
SUPP024,COMP0013,Pandemic-related facility shutdown,5.3,120 days,42 days,Success
SUPP002,COMP0401,Export control regulation change,0.08,147 days,79 days,Success
SUPP067,COMP0449,Wafer fab yield drop below threshold,8.85,127 days,86 days,Failure
SUPP068,COMP0192,Supplier financial instability,3.17,220 days,143 days,Success
SUPP008,COMP0308,Logistics disruption — carrier strike,9.16,334 days,19 days,Failure
SUPP015,COMP0163,Geopolitical trade restriction imposed,7.13,102 days,84 days,Success
SUPP027,COMP0424,Supplier financial instability,5.89,361 days,329 days,Failure
SUPP099,COMP0205,Wafer fab yield drop below threshold,9.08,51 days,20 days,Failure
SUPP028,COMP0346,Delivery delay due to port congestion,0.77,274 days,39 days,Failure
SUPP089,COMP0462,Supply shortage due to factory fire,3.59,100 days,14 days,Failure
SUPP013,COMP0437,Quality defect — batch recall issued,10.69,189 days,132 days,Success
SUPP039,COMP0149,Supplier financial instability,8.81,99 days,74 days,Success
SUPP068,COMP0048,Sudden capacity reduction by supplier,1.74,261 days,246 days,Failure
SUPP065,COMP0077,Supply shortage due to factory fire,9.19,148 days,69 days,Success
SUPP074,COMP0232,Quality defect — batch recall issued,1.3,130 days,4 days,Failure
SUPP061,COMP0368,Counterfeit component detection,5.32,68 days,50 days,Success
SUPP056,COMP0482,Geopolitical trade restriction imposed,5.78,68 days,61 days,Success
SUPP015,COMP0326,Quality defect — batch recall issued,6.82,12 days,5 days,Success
SUPP063,COMP0374,Sudden capacity reduction by supplier,10.12,129 days,62 days,Success
SUPP014,COMP0492,Counterfeit component detection,3.08,59 days,3 days,Success
SUPP025,COMP0062,Supplier financial instability,2.64,335 days,325 days,Success
SUPP014,COMP0175,Natural disaster impact on fab,4.85,344 days,188 days,Success
SUPP066,COMP0233,Supply shortage due to factory fire,7.06,37 days,1 days,Failure
SUPP073,COMP0255,Export control regulation change,2.93,2 days,1 days,Success
SUPP099,COMP0215,Raw material scarcity — price surge,8.4,242 days,215 days,Failure
SUPP037,COMP0435,Supplier financial instability,4.28,304 days,7 days,Failure
SUPP078,COMP0285,Quality defect — batch recall issued,3.46,104 days,16 days,Success
SUPP047,COMP0014,Supplier financial instability,5.44,324 days,204 days,Failure
SUPP067,COMP0317,Wafer fab yield drop below threshold,11.15,13 days,10 days,Success
SUPP072,COMP0429,Component discontinuation announcement,3.63,343 days,128 days,Success
SUPP070,COMP0371,Sudden capacity reduction by supplier,4.46,159 days,89 days,Success
SUPP032,COMP0232,Export control regulation change,6.72,214 days,45 days,Success
SUPP016,COMP0025,Logistics disruption — carrier strike,10.81,241 days,101 days,Success
SUPP050,COMP0274,Component discontinuation announcement,1.3,285 days,93 days,Failure
SUPP007,COMP0286,Supply shortage due to factory fire,7.47,163 days,39 days,Failure
SUPP093,COMP0076,Component discontinuation announcement,4.65,332 days,19 days,Failure
SUPP046,COMP0138,Pandemic-related facility shutdown,4.55,358 days,9 days,Success
SUPP056,COMP0086,Supply shortage due to factory fire,10.8,260 days,250 days,Success
SUPP081,COMP0435,Quality defect — batch recall issued,0.84,351 days,258 days,Success
SUPP031,COMP0066,Sudden capacity reduction by supplier,5.31,239 days,151 days,Success
SUPP068,COMP0166,Counterfeit component detection,7.53,258 days,238 days,Success
SUPP082,COMP0032,Quality defect — batch recall issued,1.68,339 days,124 days,Failure
SUPP032,COMP0477,Logistics disruption — carrier strike,11.81,313 days,254 days,Success
SUPP049,COMP0051,Component discontinuation announcement,1.81,343 days,42 days,Success
SUPP004,COMP0200,Wafer fab yield drop below threshold,0.59,239 days,8 days,Success
SUPP068,COMP0004,Pandemic-related facility shutdown,0.52,133 days,117 days,Success
SUPP012,COMP0169,Quality defect — batch recall issued,0.48,9 days,3 days,Success
SUPP053,COMP0171,Geopolitical trade restriction imposed,2.14,63 days,19 days,Success
SUPP086,COMP0104,Counterfeit component detection,6.01,177 days,43 days,Success
SUPP043,COMP0118,Raw material scarcity — price surge,0.96,54 days,19 days,Success
SUPP084,COMP0372,Geopolitical trade restriction imposed,1.71,345 days,304 days,Success
SUPP074,COMP0260,Logistics disruption — carrier strike,4.2,211 days,142 days,Success
SUPP001,COMP0064,Counterfeit component detection,3.02,29 days,2 days,Failure
SUPP090,COMP0265,Wafer fab yield drop below threshold,2.26,207 days,137 days,Failure
SUPP094,COMP0457,Sudden capacity reduction by supplier,11.41,156 days,82 days,Failure
SUPP088,COMP0149,Supply shortage due to factory fire,5.46,250 days,248 days,Success
SUPP003,COMP0275,Quality defect — batch recall issued,1.85,363 days,186 days,Failure
SUPP012,COMP0500,Supply shortage due to factory fire,4.54,330 days,234 days,Success
SUPP077,COMP0439,Sudden capacity reduction by supplier,10.11,146 days,36 days,Failure
SUPP067,COMP0294,Supplier financial instability,1.09,76 days,58 days,Success
SUPP046,COMP0029,Supplier financial instability,3.52,318 days,113 days,Success
SUPP008,COMP0325,Quality defect — batch recall issued,4.82,254 days,29 days,Success
SUPP033,COMP0310,Component discontinuation announcement,3.2,4 days,2 days,Success
SUPP052,COMP0466,Counterfeit component detection,7.9,147 days,74 days,Failure
SUPP098,COMP0235,Logistics disruption — carrier strike,1.39,62 days,20 days,Success
SUPP071,COMP0303,Natural disaster impact on fab,6.74,238 days,79 days,Success
SUPP003,COMP0437,Logistics disruption — carrier strike,1.94,272 days,41 days,Success
SUPP021,COMP0427,Wafer fab yield drop below threshold,4.24,132 days,101 days,Failure
SUPP024,COMP0106,Delivery delay due to port congestion,6.85,110 days,77 days,Success
SUPP073,COMP0466,Export control regulation change,7.53,299 days,70 days,Success
SUPP064,COMP0459,Wafer fab yield drop below threshold,11.4,225 days,130 days,Success
SUPP078,COMP0291,Sudden capacity reduction by supplier,10.04,240 days,195 days,Success
SUPP081,COMP0171,Counterfeit component detection,10.13,212 days,145 days,Success
SUPP029,COMP0302,Natural disaster impact on fab,10.19,34 days,23 days,Failure
SUPP027,COMP0475,Raw material scarcity — price surge,5.68,304 days,133 days,Success
SUPP044,COMP0047,Component discontinuation announcement,11.28,168 days,31 days,Failure
SUPP006,COMP0382,Raw material scarcity — price surge,2.34,155 days,52 days,Failure
SUPP001,COMP0414,Delivery delay due to port congestion,5.76,132 days,4 days,Failure
SUPP070,COMP0158,Supplier financial instability,6.2,61 days,33 days,Success
SUPP069,COMP0085,Supplier financial instability,8.87,42 days,2 days,Success
SUPP007,COMP0237,Quality defect — batch recall issued,7.31,295 days,271 days,Success
SUPP100,COMP0399,Counterfeit component detection,5.02,331 days,187 days,Failure
SUPP033,COMP0306,Geopolitical trade restriction imposed,6.28,239 days,195 days,Success
SUPP089,COMP0273,Export control regulation change,10.04,295 days,288 days,Success
SUPP099,COMP0134,Delivery delay due to port congestion,11.66,64 days,55 days,Failure
SUPP071,COMP0393,Supplier financial instability,4.59,230 days,173 days,Success
SUPP083,COMP0499,Wafer fab yield drop below threshold,8.05,207 days,64 days,Failure
SUPP054,COMP0434,Supplier financial instability,2.07,296 days,215 days,Failure
SUPP089,COMP0304,Counterfeit component detection,10.1,315 days,107 days,Failure
SUPP073,COMP0298,Geopolitical trade restriction imposed,10.96,184 days,43 days,Success
SUPP005,COMP0109,Wafer fab yield drop below threshold,3.14,106 days,90 days,Success
SUPP096,COMP0142,Delivery delay due to port congestion,9.04,142 days,116 days,Failure
SUPP077,COMP0220,Logistics disruption — carrier strike,8.66,305 days,185 days,Success
SUPP054,COMP0438,Supply shortage due to factory fire,0.11,261 days,31 days,Success
SUPP098,COMP0092,Delivery delay due to port congestion,2.38,169 days,16 days,Failure
SUPP072,COMP0478,Sudden capacity reduction by supplier,0.12,192 days,84 days,Failure
SUPP002,COMP0050,Quality defect — batch recall issued,10.97,181 days,106 days,Success
SUPP016,COMP0101,Raw material scarcity — price surge,2.7,189 days,67 days,Success
SUPP048,COMP0483,Natural disaster impact on fab,8.08,337 days,130 days,Success
SUPP064,COMP0198,Geopolitical trade restriction imposed,3.4,282 days,186 days,Success
SUPP094,COMP0441,Raw material scarcity — price surge,11.47,107 days,49 days,Failure
SUPP007,COMP0007,Quality defect — batch recall issued,8.29,24 days,2 days,Success
SUPP077,COMP0272,Supplier financial instability,1.53,199 days,20 days,Success
SUPP030,COMP0081,Quality defect — batch recall issued,3.08,215 days,93 days,Success
SUPP093,COMP0044,Counterfeit component detection,2.94,244 days,9 days,Success
SUPP083,COMP0326,Quality defect — batch recall issued,2.51,112 days,18 days,Success
SUPP073,COMP0002,Sudden capacity reduction by supplier,10.1,37 days,28 days,Failure
SUPP044,COMP0193,Geopolitical trade restriction imposed,7.13,204 days,198 days,Success
SUPP082,COMP0432,Natural disaster impact on fab,0.83,55 days,2 days,Success
SUPP004,COMP0158,Raw material scarcity — price surge,7.24,286 days,2 days,Success
SUPP083,COMP0417,Delivery delay due to port congestion,3.24,195 days,89 days,Success
SUPP066,COMP0110,Geopolitical trade restriction imposed,6.99,87 days,65 days,Success
SUPP033,COMP0403,Sudden capacity reduction by supplier,9.76,250 days,95 days,Failure
SUPP011,COMP0272,Delivery delay due to port congestion,0.45,56 days,51 days,Success
SUPP074,COMP0352,Supplier financial instability,1.78,37 days,30 days,Success
SUPP065,COMP0096,Logistics disruption — carrier strike,10.94,232 days,76 days,Success
SUPP002,COMP0343,Component discontinuation announcement,1.47,93 days,43 days,Success
SUPP001,COMP0208,Sudden capacity reduction by supplier,3.16,365 days,89 days,Failure
SUPP061,COMP0359,Component discontinuation announcement,4.8,168 days,130 days,Failure
SUPP035,COMP0223,Pandemic-related facility shutdown,0.22,45 days,25 days,Success
SUPP079,COMP0061,Supply shortage due to factory fire,1.42,153 days,32 days,Success
SUPP095,COMP0252,Logistics disruption — carrier strike,8.34,332 days,313 days,Success
SUPP076,COMP0425,Supplier financial instability,9.84,13 days,7 days,Failure
SUPP005,COMP0412,Counterfeit component detection,3.18,163 days,17 days,Success
SUPP020,COMP0105,Export control regulation change,1.59,3 days,3 days,Success
SUPP093,COMP0172,Counterfeit component detection,5.37,200 days,113 days,Success
SUPP072,COMP0049,Geopolitical trade restriction imposed,11.06,327 days,196 days,Failure
SUPP074,COMP0354,Supplier financial instability,11.95,145 days,73 days,Failure
SUPP073,COMP0167,Delivery delay due to port congestion,2.23,348 days,258 days,Success
SUPP059,COMP0330,Counterfeit component detection,7.64,74 days,72 days,Success
SUPP044,COMP0441,Geopolitical trade restriction imposed,10.26,246 days,222 days,Success
SUPP057,COMP0077,Pandemic-related facility shutdown,0.37,251 days,86 days,Failure
SUPP099,COMP0070,Wafer fab yield drop below threshold,6.85,257 days,224 days,Success
SUPP088,COMP0268,Quality defect — batch recall issued,4.36,257 days,143 days,Success
SUPP008,COMP0090,Supply shortage due to factory fire,1.09,313 days,115 days,Failure
SUPP068,COMP0380,Logistics disruption — carrier strike,2.39,186 days,63 days,Success
SUPP069,COMP0041,Delivery delay due to port congestion,9.92,11 days,7 days,Success
SUPP041,COMP0371,Component discontinuation announcement,11.68,311 days,208 days,Success
SUPP050,COMP0022,Sudden capacity reduction by supplier,10.07,98 days,90 days,Success
SUPP016,COMP0335,Counterfeit component detection,0.44,244 days,15 days,Failure
SUPP001,COMP0361,Delivery delay due to port congestion,2.19,64 days,22 days,Failure
SUPP020,COMP0425,Component discontinuation announcement,3.5,265 days,102 days,Success
SUPP054,COMP0223,Quality defect — batch recall issued,3.44,257 days,129 days,Success
SUPP031,COMP0355,Wafer fab yield drop below threshold,5.72,195 days,60 days,Success
SUPP026,COMP0277,Raw material scarcity — price surge,2.16,265 days,224 days,Success
SUPP074,COMP0105,Raw material scarcity — price surge,2.86,308 days,228 days,Success
SUPP056,COMP0111,Raw material scarcity — price surge,7.39,16 days,12 days,Success
SUPP012,COMP0067,Logistics disruption — carrier strike,5.65,221 days,18 days,Success
SUPP063,COMP0487,Logistics disruption — carrier strike,8.71,179 days,33 days,Success
SUPP072,COMP0400,Supplier financial instability,7.53,182 days,91 days,Success
SUPP087,COMP0111,Supplier financial instability,9.95,86 days,47 days,Failure
SUPP064,COMP0064,Component discontinuation announcement,1.28,39 days,29 days,Success
SUPP082,COMP0456,Counterfeit component detection,2.24,362 days,6 days,Failure
SUPP064,COMP0090,Component discontinuation announcement,4.74,345 days,339 days,Failure
SUPP022,COMP0139,Logistics disruption — carrier strike,10.3,261 days,54 days,Failure
SUPP083,COMP0037,Export control regulation change,7.11,268 days,202 days,Success
SUPP056,COMP0203,Delivery delay due to port congestion,3.28,13 days,2 days,Success
SUPP085,COMP0142,Natural disaster impact on fab,7.24,183 days,65 days,Failure
SUPP081,COMP0127,Natural disaster impact on fab,3.39,170 days,146 days,Failure
SUPP085,COMP0462,Natural disaster impact on fab,10.12,224 days,40 days,Success
SUPP074,COMP0415,Delivery delay due to port congestion,9.89,147 days,59 days,Failure
SUPP006,COMP0003,Delivery delay due to port congestion,3.35,320 days,237 days,Success
SUPP054,COMP0429,Pandemic-related facility shutdown,4.51,60 days,30 days,Failure
SUPP080,COMP0428,Counterfeit component detection,6.08,198 days,111 days,Failure
SUPP082,COMP0471,Supply shortage due to factory fire,1.68,118 days,40 days,Failure
SUPP004,COMP0414,Geopolitical trade restriction imposed,7.53,5 days,1 days,Success
SUPP054,COMP0347,Geopolitical trade restriction imposed,3.31,95 days,28 days,Success
SUPP072,COMP0257,Supplier financial instability,0.25,167 days,48 days,Success
SUPP097,COMP0246,Raw material scarcity — price surge,2.74,212 days,35 days,Failure
SUPP085,COMP0460,Quality defect — batch recall issued,11.15,246 days,10 days,Success
SUPP014,COMP0022,Quality defect — batch recall issued,3.28,38 days,17 days,Success
SUPP051,COMP0269,Pandemic-related facility shutdown,11.0,93 days,69 days,Failure
SUPP074,COMP0198,Sudden capacity reduction by supplier,7.52,158 days,14 days,Success
SUPP048,COMP0095,Natural disaster impact on fab,0.46,293 days,98 days,Success
SUPP022,COMP0119,Component discontinuation announcement,7.91,143 days,95 days,Failure
SUPP077,COMP0037,Supplier financial instability,4.82,56 days,40 days,Success
SUPP067,COMP0211,Geopolitical trade restriction imposed,2.02,322 days,137 days,Failure
SUPP028,COMP0309,Supply shortage due to factory fire,8.78,123 days,55 days,Failure
SUPP004,COMP0142,Quality defect — batch recall issued,1.45,215 days,164 days,Success
SUPP043,COMP0435,Logistics disruption — carrier strike,6.2,315 days,281 days,Success
SUPP085,COMP0433,Raw material scarcity — price surge,1.01,138 days,12 days,Success
SUPP026,COMP0135,Delivery delay due to port congestion,6.8,85 days,81 days,Failure
SUPP043,COMP0387,Logistics disruption — carrier strike,11.77,242 days,74 days,Success
SUPP039,COMP0168,Pandemic-related facility shutdown,8.75,62 days,36 days,Failure
SUPP042,COMP0059,Logistics disruption — carrier strike,10.38,298 days,93 days,Success
SUPP033,COMP0301,Sudden capacity reduction by supplier,8.47,266 days,193 days,Success
SUPP053,COMP0295,Supply shortage due to factory fire,9.41,316 days,294 days,Success
SUPP086,COMP0201,Sudden capacity reduction by supplier,5.67,92 days,27 days,Success
SUPP012,COMP0261,Counterfeit component detection,2.71,346 days,34 days,Success
SUPP086,COMP0023,Sudden capacity reduction by supplier,1.12,184 days,110 days,Success
SUPP055,COMP0415,Logistics disruption — carrier strike,7.89,8 days,8 days,Success
SUPP037,COMP0002,Natural disaster impact on fab,6.26,218 days,112 days,Success
SUPP016,COMP0458,Counterfeit component detection,10.76,327 days,314 days,Success
SUPP030,COMP0329,Delivery delay due to port congestion,1.34,113 days,81 days,Success
SUPP026,COMP0446,Export control regulation change,4.14,216 days,80 days,Success
SUPP006,COMP0326,Delivery delay due to port congestion,3.54,309 days,183 days,Success
SUPP002,COMP0452,Pandemic-related facility shutdown,8.43,177 days,27 days,Failure
SUPP076,COMP0237,Supply shortage due to factory fire,10.34,186 days,87 days,Failure
SUPP002,COMP0009,Supplier financial instability,0.15,8 days,8 days,Failure
SUPP042,COMP0456,Supplier financial instability,6.97,68 days,20 days,Success
SUPP082,COMP0460,Counterfeit component detection,3.98,235 days,157 days,Failure
SUPP092,COMP0216,Supply shortage due to factory fire,2.94,81 days,52 days,Success
SUPP093,COMP0446,Export control regulation change,11.33,124 days,72 days,Failure
SUPP086,COMP0384,Logistics disruption — carrier strike,0.2,30 days,20 days,Failure
SUPP097,COMP0148,Delivery delay due to port congestion,11.3,60 days,55 days,Success
SUPP081,COMP0043,Quality defect — batch recall issued,4.21,151 days,46 days,Success
SUPP057,COMP0362,Geopolitical trade restriction imposed,4.41,212 days,127 days,Success
SUPP087,COMP0198,Delivery delay due to port congestion,3.68,322 days,222 days,Success
SUPP046,COMP0461,Natural disaster impact on fab,7.37,43 days,43 days,Failure
SUPP076,COMP0014,Supply shortage due to factory fire,2.34,117 days,1 days,Success
SUPP096,COMP0178,Counterfeit component detection,7.31,95 days,32 days,Success
SUPP050,COMP0485,Wafer fab yield drop below threshold,9.35,24 days,14 days,Success
SUPP038,COMP0373,Component discontinuation announcement,0.71,327 days,291 days,Success
SUPP062,COMP0312,Quality defect — batch recall issued,3.83,313 days,292 days,Success
SUPP064,COMP0278,Logistics disruption — carrier strike,2.83,317 days,300 days,Success
SUPP067,COMP0108,Supplier financial instability,0.65,245 days,99 days,Success
SUPP002,COMP0246,Quality defect — batch recall issued,6.8,146 days,121 days,Failure
SUPP024,COMP0376,Delivery delay due to port congestion,10.06,273 days,190 days,Failure
